PIS1.started,PIS1.stopped,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.time,,date,expName,psychopyVersion,OS,frameRate,PIS2.started,PIS2.stopped,mouse_13.x,mouse_13.y,mouse_13.leftButton,mouse_13.midButton,mouse_13.rightButton,mouse_13.time,PIS3.started,PIS3.stopped,mouse_19.x,mouse_19.y,mouse_19.leftButton,mouse_19.midButton,mouse_19.rightButton,mouse_19.time,Consent.started,Consent.stopped,key_resp.keys,key_resp.rt,key_resp.duration,Instructions_2.started,Instructions_2.stopped,mouse_12.x,mouse_12.y,mouse_12.leftButton,mouse_12.midButton,mouse_12.rightButton,mouse_12.time,Instruction_Animation.started,Instruction_Animation.stopped,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,mouse_11.time,Line0.started,Line0.stopped,Demo c0 x position:,Demo c0 y position:,mouse_15.x,mouse_15.y,mouse_15.leftButton,mouse_15.midButton,mouse_15.rightButton,mouse_15.time,Halo_01.started,Halo_01.stopped,Demo c1 x position:,Demo c1 y position:,mouse_16.x,mouse_16.y,mouse_16.leftButton,mouse_16.midButton,mouse_16.rightButton,mouse_16.time,Halo_02.started,Halo_02.stopped,Demo c2 x position:,Demo c2 y position:,mouse_17.x,mouse_17.y,mouse_17.leftButton,mouse_17.midButton,mouse_17.rightButton,mouse_17.time,Halo_03.started,Halo_03.stopped,Demo c3 x position:,Demo c3 y position:,mouse_18.x,mouse_18.y,mouse_18.leftButton,mouse_18.midButton,mouse_18.rightButton,mouse_18.time,Instructions2.started,Instructions2.stopped,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.time
0.0002,0.682,-0.097593723,-0.229450277,1,0,0,0.6788,,2024-03-13_19h34.14.589,circleBounceNew,2023.2.3,MacIntel,58.47953216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,2024-03-13_19h34.14.589,circleBounceNew,2023.2.3,MacIntel,58.47953216,0.6823,1.3486,-0.0977398,-0.23537028,1,0,0,0.6628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,2024-03-13_19h34.14.589,circleBounceNew,2023.2.3,MacIntel,58.47953216,,,,,,,,,1.3488,2.1311,-0.098295356,-0.236177029,1,0,0,0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,2024-03-13_19h34.14.589,circleBounceNew,2023.2.3,MacIntel,58.47953216,,,,,,,,,,,,,,,,,2.1312,6.9198,y,4.7687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,2024-03-13_19h34.14.589,circleBounceNew,2023.2.3,MacIntel,58.47953216,,,,,,,,,,,,,,,,,,,,,,6.9199,8.6479,-0.100840793,-0.210797323,1,0,0,1.7212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,2024-03-13_19h34.14.589,circleBounceNew,2023.2.3,MacIntel,58.47953216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.6481,10.1481,[],[],[],[],[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,2024-03-13_19h34.14.589,circleBounceNew,2023.2.3,MacIntel,58.47953216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1483,13.2813,-0.030742304,0.083249219,-0.06141371,0.077544454,1,0,0,3.1288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,2024-03-13_19h34.14.589,circleBounceNew,2023.2.3,MacIntel,58.47953216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.2814,17.116,-0.260591065,0.031599788,-0.197775201,0.023982612,1,0,0,3.8217,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,2024-03-13_19h34.14.589,circleBounceNew,2023.2.3,MacIntel,58.47953216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.1161,19.5821,-0.365825622,-0.023231027,-0.239434441,-0.015204807,1,0,0,2.4552,,,,,,,,,,,,,,,,,,
,,,,,,,,,2024-03-13_19h34.14.589,circleBounceNew,2023.2.3,MacIntel,58.47953216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.5823,26.6833,-0.461639397,-0.081336519,-0.259310879,-0.045688137,1,0,0,7.0985,,,,,,,,
,,,,,,,,,2024-03-13_19h34.14.589,circleBounceNew,2023.2.3,MacIntel,58.47953216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.6925,51.3986,-0.075882975,-0.057107917,1,0,0,24.7022
