PIS1.started,PIS1.stopped,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.time,,date,expName,psychopyVersion,OS,frameRate,PIS2.started,PIS2.stopped,mouse_13.x,mouse_13.y,mouse_13.leftButton,mouse_13.midButton,mouse_13.rightButton,mouse_13.time,PIS3.started,PIS3.stopped,mouse_19.x,mouse_19.y,mouse_19.leftButton,mouse_19.midButton,mouse_19.rightButton,mouse_19.time,Consent.started,Consent.stopped,key_resp.keys,key_resp.rt,key_resp.duration,Instructions_2.started,Instructions_2.stopped,mouse_12.x,mouse_12.y,mouse_12.leftButton,mouse_12.midButton,mouse_12.rightButton,mouse_12.time,Instruction_Animation.started,Instruction_Animation.stopped,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,mouse_11.time,Line0.started,Line0.stopped,Demo c0 x position:,Demo c0 y position:,mouse_15.x,mouse_15.y,mouse_15.leftButton,mouse_15.midButton,mouse_15.rightButton,mouse_15.time,Halo_01.started,Halo_01.stopped,Demo c1 x position:,Demo c1 y position:,mouse_16.x,mouse_16.y,mouse_16.leftButton,mouse_16.midButton,mouse_16.rightButton,mouse_16.time,Halo_02.started,Halo_02.stopped,Demo c2 x position:,Demo c2 y position:,mouse_17.x,mouse_17.y,mouse_17.leftButton,mouse_17.midButton,mouse_17.rightButton,mouse_17.time,Halo_03.started,Halo_03.stopped,Demo c3 x position:,Demo c3 y position:,mouse_18.x,mouse_18.y,mouse_18.leftButton,mouse_18.midButton,mouse_18.rightButton,mouse_18.time,Instructions2.started,Instructions2.stopped,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.time,Rotation.started,Rotation.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,Line.started,Line.stopped,Practice c0 x position:,Practice c0 y position:,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_7.time,Halo_1.started,Halo_1.stopped,Practice c1 x position:,Practice c1 y position:,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,Halo_2.started,Halo_2.stopped,Practice c2 x position:,Practice c2 y position:,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,Halo_3.started,Halo_3.stopped,Practice c3 x position:,Practice c3 y position:,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,mouse_6.time,Pract.thisRepN,Pract.thisTrialN,Pract.thisN,Pract.thisIndex,Pract.ran,v,l,s,q,c,Start.started,Start.stopped,mouse_9.x,mouse_9.y,mouse_9.leftButton,mouse_9.midButton,mouse_9.rightButton,mouse_9.time
0.0001,0.5284,-0.156852553,-0.321181098,1,0,0,0.5249,,2024-03-13_19h42.58.660,circleBounceNew,2023.2.3,MacIntel,61.72839506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,2024-03-13_19h42.58.660,circleBounceNew,2023.2.3,MacIntel,61.72839506,0.5286,0.8119,-0.156852553,-0.321181098,1,0,0,0.2808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,2024-03-13_19h42.58.660,circleBounceNew,2023.2.3,MacIntel,61.72839506,,,,,,,,,0.812,1.1125,-0.156852553,-0.321181098,1,0,0,0.2983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,2024-03-13_19h42.58.660,circleBounceNew,2023.2.3,MacIntel,61.72839506,,,,,,,,,,,,,,,,,1.1125,2.7779,y,1.6446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,2024-03-13_19h42.58.660,circleBounceNew,2023.2.3,MacIntel,61.72839506,,,,,,,,,,,,,,,,,,,,,,2.7781,3.4127,-0.156852553,-0.321181098,1,0,0,0.6303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,2024-03-13_19h42.58.660,circleBounceNew,2023.2.3,MacIntel,61.72839506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.413,4.9113,[],[],[],[],[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,2024-03-13_19h42.58.660,circleBounceNew,2023.2.3,MacIntel,61.72839506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9116,5.6785,-0.006765164,0.012485852,-0.103853353,-0.036769816,1,0,0,0.7637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,2024-03-13_19h42.58.660,circleBounceNew,2023.2.3,MacIntel,61.72839506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6787,6.4618,-0.247279259,-0.088086424,-0.107601522,-0.038330078,1,0,0,0.7805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,2024-03-13_19h42.58.660,circleBounceNew,2023.2.3,MacIntel,61.72839506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.462,7.2129,-0.334665474,-0.1495563,-0.107854207,-0.048198208,1,0,0,0.7464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,2024-03-13_19h42.58.660,circleBounceNew,2023.2.3,MacIntel,61.72839506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.2132,8.0947,-0.399742367,-0.244811362,-0.107854207,-0.066052382,1,0,0,0.8793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
