PIS1.started,PIS1.stopped,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.time,participant,study_id,session,date,expName,psychopyVersion,OS,frameRate,PIS2.started,PIS2.stopped,mouse_13.x,mouse_13.y,mouse_13.leftButton,mouse_13.midButton,mouse_13.rightButton,mouse_13.time,PIS3.started,PIS3.stopped,mouse_19.x,mouse_19.y,mouse_19.leftButton,mouse_19.midButton,mouse_19.rightButton,mouse_19.time,Consent.started,Consent.stopped,consent_resp.keys,consent_resp.rt,consent_resp.duration,Instructions_2.started,Instructions_2.stopped,mouse_12.x,mouse_12.y,mouse_12.leftButton,mouse_12.midButton,mouse_12.rightButton,mouse_12.time,Instruction_Animation.started,Instruction_Animation.stopped,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,mouse_11.time,Line0.started,Line0.stopped,Demo c0 x position:,Demo c0 y position:,mouse_15.x,mouse_15.y,mouse_15.leftButton,mouse_15.midButton,mouse_15.rightButton,mouse_15.time,Halo_01.started,Halo_01.stopped,Demo c1 x position:,Demo c1 y position:,mouse_16.x,mouse_16.y,mouse_16.leftButton,mouse_16.midButton,mouse_16.rightButton,mouse_16.time,Halo_02.started,Halo_02.stopped,Demo c2 x position:,Demo c2 y position:,mouse_17.x,mouse_17.y,mouse_17.leftButton,mouse_17.midButton,mouse_17.rightButton,mouse_17.time,Halo_03.started,Halo_03.stopped,Demo c3 x position:,Demo c3 y position:,mouse_18.x,mouse_18.y,mouse_18.leftButton,mouse_18.midButton,mouse_18.rightButton,mouse_18.time,Instructions2.started,Instructions2.stopped,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.time,Rotation.started,Rotation first dot x position,Rotation first dot y position:,Rotation.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,Line.started,Line.stopped,Practice c0 x position:,Practice c0 y position:,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_7.time,Halo_1.started,Halo_1.stopped,Practice c1 x position:,Practice c1 y position:,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,Halo_2.started,Halo_2.stopped,Practice c2 x position:,Practice c2 y position:,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,Halo_3.started,Halo_3.stopped,Practice c3 x position:,Practice c3 y position:,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,mouse_6.time,Pract.thisRepN,Pract.thisTrialN,Pract.thisN,Pract.thisIndex,Pract.ran,v,l,s,q,c,Start.started,Start.stopped,mouse_9.x,mouse_9.y,mouse_9.leftButton,mouse_9.midButton,mouse_9.rightButton,mouse_9.time,Rotation c0 x position:,Rotation c0 y position:,Rotation c1 x position:,Rotation c1 y position:,Rotation c2 x position:,Rotation c2 y position:,Rotation c3 x position:,Rotation c3 y position:,Mask.started,Mask first dot x position,Mask first dot y position:,Mask.stopped,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.time,Mask c0 x position:,Mask c0 y position:,Mask c1 x position:,Mask c1 y position:,Mask c2 x position:,Mask c2 y position:,Mask c3 x position:,Mask c3 y position:,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,show_trials.thisRepN,show_trials.thisTrialN,show_trials.thisN,show_trials.thisIndex,show_trials.ran,show_trials.order,trials.order
0.0001,1.1636,-0.160185185,-0.246296296,1,0,0,1.161,a,b,c,2024-03-14_10h03.48.569,circleBounceNew,2023.2.3,Win32,60.08893162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,a,b,c,2024-03-14_10h03.48.569,circleBounceNew,2023.2.3,Win32,60.08893162,1.1639,1.5298,-0.160185185,-0.246296296,1,0,0,0.364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,a,b,c,2024-03-14_10h03.48.569,circleBounceNew,2023.2.3,Win32,60.08893162,,,,,,,,,1.53,1.9462,-0.160185185,-0.246296296,1,0,0,0.4143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,a,b,c,2024-03-14_10h03.48.569,circleBounceNew,2023.2.3,Win32,60.08893162,,,,,,,,,,,,,,,,,1.9463,9.0158,y,7.0579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,a,b,c,2024-03-14_10h03.48.569,circleBounceNew,2023.2.3,Win32,60.08893162,,,,,,,,,,,,,,,,,,,,,,9.0176,12.649,-0.130555556,-0.218518519,1,0,0,3.6287,12.6492,14.1474,[],[],[],[],[],[],14.1476,15.1156,-0.023173859,0.05280747,-0.082407407,0.034259259,1,0,0,0.9661,15.1156,15.9151,-0.261980744,0.016502724,-0.117592593,0.007407407,1,0,0,0.7979,15.9152,17.1157,-0.365774078,-0.024028954,-0.126851852,-0.008333333,1,0,0,1.199,17.1159,17.916,-0.461450426,-0.082401862,-0.12962963,-0.023148148,1,0,0,0.7986,17.9162,18.8823,-0.12962963,-0.023148148,1,0,0,0.9646,18.8971,0.244874899,0.28352137,20.7655,[],[],[],[],[],[],20.7657,21.9132,0.040595598,-0.01119531,0.056481481,0.032407407,1,0,0,1.1452,21.9134,22.5299,0.201514381,0.168220701,0.106481481,0.088888889,1,0,0,0.6146,22.5301,23.1301,0.289346922,0.225047606,0.116666667,0.090740741,1,0,0,0.5984,23.1303,23.9965,0.378513768,0.276502965,0.130555556,0.09537037,1,0,0,0.8642,0,0,0,0,1,99,0,4,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,a,b,c,2024-03-14_10h03.48.569,circleBounceNew,2023.2.3,Win32,60.08893162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.9971,0.155901337,-0.340650637,25.8638,[],[],[],[],[],[],25.8639,26.2792,-0.014358274,-0.018406248,-0.005555556,-0.025925926,1,0,0,0.4142,26.2792,27.5321,0.122018898,-0.232416949,0.038888889,-0.074074074,1,0,0,1.2517,27.5321,28.8627,0.149605352,-0.334643549,0.035185185,-0.078703704,1,0,0,1.3295,28.8628,29.6962,0.165656517,-0.438502544,0.031481481,-0.083333333,1,0,0,0.8322,0,1,1,1,1,3,0,2,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,a,b,c,2024-03-14_10h03.48.569,circleBounceNew,2023.2.3,Win32,60.08893162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.6968,-0.111113553,0.357160812,31.5654,[],[],[],[],[],[],31.5655,32.0965,-0.012475605,-0.014118743,0.012037037,-0.034259259,1,0,0,0.5297,32.0965,32.863,-0.146807973,0.217608982,-0.130555556,0.193518519,1,0,0,0.7652,32.8631,33.4467,-0.177550853,0.320692627,-0.119444444,0.215740741,1,0,0,0.5823,33.4467,34.0133,-0.191646687,0.427782783,-0.103703704,0.231481481,1,0,0,0.5653,0,2,2,2,1,99,0,5,3,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,a,b,c,2024-03-14_10h03.48.569,circleBounceNew,2023.2.3,Win32,60.08893162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.9347,0.240505551,0.286473641,36.7964,[],[],[],[],[],[],41.466,42.4625,,,0.012962963,0.012962963,1,0,0,0.9955,42.4626,43.4321,,,-0.061111111,-0.148148148,1,0,0,0.9683,43.4321,44.113,,,-0.085185185,-0.15,1,0,0,0.6798,44.113,44.6299,,,-0.116666667,-0.151851852,1,0,0,0.5158,,,,,,99,0,4,3,6,34.0137,34.9299,-0.091666667,0.159259259,1,0,0,0.916,-0.00916627,0.001583562,0.137646024,0.223516939,0.201007099,0.306535826,0.275582266,0.379184622,39.8468,0.229884304,0.26616494,41.4659,[],[],[],[],[],[],0.010770541,-0.001826453,-0.100099367,-0.242665133,-0.18101771,-0.318748577,-0.2855828,-0.371710946,0,0,0,0,1,,,,,,,
,,,,,,,,a,b,c,2024-03-14_10h03.48.569,circleBounceNew,2023.2.3,Win32,60.08893162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.6304,-0.202413775,-0.315240776,46.4968,[],[],[],[],[],[],52.0044,53.9126,,,-0.001851852,-0.002777778,1,0,0,1.9064,53.9126,54.7133,,,-0.009259259,0.188888889,1,0,0,0.7997,54.7134,55.263,,,-0.025925926,0.194444444,1,0,0,0.5486,55.2632,55.7968,,,-0.042592593,0.19537037,1,0,0,0.5324,,,,,,99,0,1,2,6,,,,,,,,,-0.027889,0.002815556,-0.136681341,-0.224108146,-0.227846061,-0.287148461,-0.318251069,-0.344155226,50.3798,-0.190022538,-0.295942568,52.0043,[],[],[],[],[],[],-0.001735978,7.62371E-05,-0.012852215,0.262185184,-0.048446264,0.363346977,-0.099846722,0.457992571,0,1,1,4,1,,,,,,,
,,,,,,,,a,b,c,2024-03-14_10h03.48.569,circleBounceNew,2023.2.3,Win32,60.08893162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.7975,0.155901337,-0.340650637,57.6631,[],[],[],[],[],[],62.1165,63.1131,,,-0.003703704,-0.05,1,0,0,0.9954,63.1131,63.7964,,,-0.087037037,0.125,1,0,0,0.6821,63.7964,64.2988,,,-0.065740741,0.147222222,1,0,0,0.5015,64.2989,64.7631,,,-0.04537037,0.169444444,1,0,0,0.4633,,,,,,3,0,2,3,6,,,,,,,,,-0.002670756,-0.003688765,0.159124696,-0.208771601,0.179374007,-0.319676449,0.175602138,-0.434615292,60.4969,0.146357469,-0.319796904,62.1164,[],[],[],[],[],[],-0.023705664,-0.040617805,-0.149997921,0.215422547,-0.149460854,0.334708111,-0.121241313,0.45279919,0,2,2,1,1,,,,,,,
